products,City,Demand
4K TV,Adelaide,7
4K TV,Albuquerque,3
4K TV,Albury-Wodonga,6
4K TV,Arlington,2
4K TV,Atlanta,5
4K TV,Austin,4
4K TV,Ballarat,8
4K TV,Baltimore,4
4K TV,Barrie,9
4K TV,Belfast,4
4K TV,Bendigo,7
4K TV,Berlin,10
4K TV,Bielefeld,9
4K TV,Birmingham,8
4K TV,Bochum,10
4K TV,Bonn,5
4K TV,Boston,39
4K TV,Bremen,7
4K TV,Brighton,7
4K TV,Brisbane,10
4K TV,Bristol,9
4K TV,Cairns,7
4K TV,Calgary,6
4K TV,Canberra,9
4K TV,Cardiff,10
4K TV,Charlotte,4
4K TV,Chicago,62
4K TV,Cleveland,2
4K TV,Cologne,11
4K TV,Colorado Springs,4
4K TV,Columbus,3
4K TV,Dallas,7
4K TV,Darwin,9
4K TV,Denver,4
4K TV,Detroit,2
4K TV,Dortmund,7
4K TV,Dresden,15
4K TV,Duisburg,10
4K TV,Düsseldorf,8
4K TV,Edinburgh,5
4K TV,Edmonton,10
4K TV,El Paso,5
4K TV,Essen,4
4K TV,Fort Worth,25
4K TV,Frankfurt,43
4K TV,Fresno,3
4K TV,Geelong,8
4K TV,Glasgow,7
4K TV,Gold Coast,7
4K TV,Halifax,7
4K TV,Hamburg,7
4K TV,Hamilton,11
4K TV,Hanover,10
4K TV,Hobart,12
4K TV,Houston,7
4K TV,Hull,15
4K TV,Indianapolis,3
4K TV,Jacksonville,2
4K TV,Kansas City,2
4K TV,Kelowna,11
4K TV,Kitchener,12
4K TV,Las Vegas,2
4K TV,Launceston,8
4K TV,Leeds,10
4K TV,Leicester,5
4K TV,Leipzig,12
4K TV,Liverpool,5
4K TV,London,17
4K TV,Long Beach,4
4K TV,Los Angeles,4
4K TV,Louisville,5
4K TV,Mackay,6
4K TV,Manchester,10
4K TV,Melbourne,8
4K TV,Memphis,6
4K TV,Mesa,5
4K TV,Miami,2
4K TV,Milwaukee,7
4K TV,Minneapolis,4
4K TV,Montreal,11
4K TV,Munich,7
4K TV,Münster,4
4K TV,Nashville,4
4K TV,New Orleans,5
4K TV,New York,18
4K TV,Newcastle,8
4K TV,Newcastle upon Tyne,9
4K TV,Nottingham,10
4K TV,Nuremberg,9
4K TV,Oakland,4
4K TV,Oklahoma City,4
4K TV,Omaha,2
4K TV,Oshawa,14
4K TV,Ottawa,17
4K TV,Oxford,9
4K TV,Perth,9
4K TV,Philadelphia,1
4K TV,Phoenix,2
4K TV,Plymouth,14
4K TV,Portland,4
4K TV,Portsmouth,71
4K TV,Quebec City,15
4K TV,Raleigh,5
4K TV,Regina,15
4K TV,Sacramento,6
4K TV,San Antonio,5
4K TV,San Diego,2
4K TV,San Francisco,57
4K TV,San Jose,5
4K TV,Saskatoon,8
4K TV,Seattle,7
4K TV,Sheffield,8
4K TV,Southampton,9
4K TV,St. John's,7
4K TV,Stuttgart,10
4K TV,Sydney,14
4K TV,Toowoomba,9
4K TV,Toronto,12
4K TV,Townsville,5
4K TV,Tucson,4
4K TV,Tulsa,4
4K TV,Vancouver,8
4K TV,Victoria,12
4K TV,Virginia Beach,4
4K TV,Washington,6
4K TV,Wichita,1
4K TV,Windsor,2
4K TV,Winnipeg,10
4K TV,Wollongong,10
4K TV,Wuppertal,10
A-line dress,Adelaide,1
A-line dress,Albuquerque,2
A-line dress,Albury-Wodonga,4
A-line dress,Arlington,1
A-line dress,Austin,1
A-line dress,Ballarat,4
A-line dress,Baltimore,5
A-line dress,Barrie,4
A-line dress,Belfast,6
A-line dress,Bendigo,4
A-line dress,Berlin,4
A-line dress,Bielefeld,6
A-line dress,Birmingham,9
A-line dress,Bochum,8
A-line dress,Bonn,5
A-line dress,Boston,25
A-line dress,Bremen,4
A-line dress,Brighton,2
A-line dress,Brisbane,5
A-line dress,Bristol,2
A-line dress,Cairns,4
A-line dress,Calgary,7
A-line dress,Canberra,5
A-line dress,Cardiff,3
A-line dress,Charlotte,3
A-line dress,Chicago,23
A-line dress,Cleveland,1
A-line dress,Cologne,2
A-line dress,Colorado Springs,2
A-line dress,Columbus,3
A-line dress,Dallas,1
A-line dress,Darwin,7
A-line dress,Denver,3
A-line dress,Detroit,6
A-line dress,Dortmund,3
A-line dress,Dresden,5
A-line dress,Duisburg,5
A-line dress,Düsseldorf,5
A-line dress,Edinburgh,6
A-line dress,Edmonton,4
A-line dress,El Paso,1
A-line dress,Essen,7
A-line dress,Fort Worth,14
