products,Adelaide,Albuquerque,Albury-Wodonga,Arlington,Atlanta,Austin,Ballarat,Baltimore,Barrie,Belfast,Bendigo,Berlin,Bielefeld,Birmingham,Bochum,Bonn,Boston,Bremen,Brighton,Brisbane,Bristol,Cairns,Calgary,Canberra,Cardiff,Charlotte,Chicago,Cleveland,Cologne,Colorado Springs,Columbus,Dallas,Darwin,Denver,Detroit,Dortmund,Dresden,Duisburg,Düsseldorf,Edinburgh,Edmonton,El Paso,Essen,Fort Worth,Frankfurt,Fresno,Geelong,Glasgow,Gold Coast,Halifax,Hamburg,Hamilton,Hanover,Hobart,Houston,Hull,Indianapolis,Jacksonville,Kansas City,Kelowna,Kitchener,Las Vegas,Launceston,Leeds,Leicester,Leipzig,Liverpool,London,Long Beach,Los Angeles,Louisville,Mackay,Manchester,Melbourne,Memphis,Mesa,Miami,Milwaukee,Minneapolis,Montreal,Munich,Münster,Nashville,New Orleans,New York,Newcastle,Newcastle upon Tyne,Nottingham,Nuremberg,Oakland,Oklahoma City,Omaha,Oshawa,Ottawa,Oxford,Perth,Philadelphia,Phoenix,Plymouth,Portland,Portsmouth,Quebec City,Raleigh,Regina,Sacramento,San Antonio,San Diego,San Francisco,San Jose,Saskatoon,Seattle,Sheffield,Southampton,St. John's,Stuttgart,Sydney,Toowoomba,Toronto,Townsville,Tucson,Tulsa,Vancouver,Victoria,Virginia Beach,Washington,Wichita,Windsor,Winnipeg,Wollongong,Wuppertal
4K TV,262.2793371357143,228.8699948,240.8108557316667,179.64450343000001,286.521601232,359.511107675,246.330911985,261.0430466475,168.46212889555557,278.910346735,257.80072705714286,179.696502586,224.72597087111112,225.81062409999998,252.56854511299997,290.623113766,293.10233295421057,211.92018944285715,323.0337311857143,267.795887765,236.1495706388889,312.76792316285713,225.38104332166668,257.1594494955555,231.00175905400002,227.6560822325,242.58610743629032,294.0839911,364.66034006636363,389.81151275,174.27883203333332,270.5885345871429,277.5386601355556,90.783919505,323.24285405,259.4208126171429,221.84157356400002,253.760876838,228.78522777714286,348.29139855,317.24953175999997,362.7692685,280.32058358999996,254.8994036244,271.6707449434884,269.6138463533333,237.69374222624998,297.9944632157143,241.94328503571427,248.22395577285712,288.53264260428574,260.7832418981818,238.63780784199997,267.52231682166666,287.7333706185714,230.90779553933334,309.24165396666666,332.8672547,71.933078315,305.9557548090909,232.29689215,331.48409475,294.9024930725,182.084256259,210.88582808399997,260.5291074483334,255.237453238,242.3074563017647,177.68296625,369.1518732,170.21090421399998,179.430398125,249.383862276,312.3900435625,292.4752222833333,290.249660072,315.65819555,269.5143526,236.573577355,232.51356633545456,213.95536318,298.3191431,250.525260025,257.95105278,267.50754237,214.6695728675,259.2745887244444,216.219909667,288.4680319022222,195.66736137,307.125480375,89.603941025,255.5438574907143,244.34108161941174,248.27303187666666,214.86247664333334,436.1365632,253.60059809,252.02784786,221.0350538825,284.24558842366196,245.63221618666665,249.74723884,297.0098992746667,378.015958045,147.91027573399998,258.43173385,262.27424933052635,320.88489168,377.810587075,319.6432344285714,260.68757000375,246.66262100999998,251.47721499999997,246.54593514500002,257.5034795607143,141.6295471111111,290.48058188333334,218.87553063000001,342.746549975,319.43776888,270.5178227125,262.19222734833335,173.6916118625,259.8897237,342.8988462,235.752943115,254.174186701,359.60845708,326.380862132
A-line dress,16.81515835,239.5136476,201.32501713,151.5905648,,323.4393015,351.12710951500003,134.817722662,343.7650442,296.54977445000003,199.51338739,346.998170075,172.20125148333332,289.81913651888885,213.5349367375,328.584969988,246.99554917400002,287.35475892249997,138.412230125,345.30397204,244.0702303,362.254974445,247.53815657142857,298.96182426,350.5727745666666,148.04736617333333,233.69393730956523,89.65116969,305.2647135,433.64595075,82.72215753,21.63572879,249.84595098,283.8965349,249.12112428666669,419.8789036333333,273.152212686,271.7908231,296.26637712,174.23339284166664,283.187758505,215.7162673,271.67663520285714,338.60929271428574,238.22038028217392,277.3195080333333,254.26367878,371.185997516,276.181677115,430.83523245000003,306.434230575,165.982229894,222.34297720375,312.3088168166667,,274.55875657,350.2998282,49.39730123,331.68881393500004,259.61828053777776,341.46283416666665,389.77759795,265.7700444225,118.45206353166667,289.69283752,127.72944718000001,397.9149559,147.86908577100002,84.11193859,388.92363095,164.44481481,415.4592656666667,340.7323841525,317.07049179999996,58.10761072,,,,322.84112805,215.545720902,123.96017578799999,339.06150096666664,379.3722886,228.3982963,239.54825199785714,282.236707366,340.80875700333337,293.03666978,430.1593543,,254.122342855,100.1122525,240.62919453666666,298.6805174285714,235.38879308,269.3816034175,,287.3277184,247.64779045,59.4414821,243.96584456,239.07223357499998,194.7302589,278.3066465,207.29638185,69.79193651,340.24573385,278.157904094,,225.18869603166664,363.1457687,225.13498105,235.69885334999998,117.19133767333335,117.601687202,227.60087506666665,214.37031149999999,429.5634695,270.756839,236.86975718600002,175.7239289,266.2214646285714,195.299880596,,307.7793884,238.894572625,410.16771190000003,253.9760682075,225.67321603,337.57382585
Acer Iconia Tab,217.19386684,234.31483474400002,293.4148157916667,148.945653515,278.49525854,202.401319295,359.24598872857143,165.41291094333334,286.7372911171429,273.6715498625,349.1792879111111,212.60718719307695,244.785205725,248.53972173692307,238.04192009714285,231.35288340636362,288.009529725102,280.03016555,281.2725929357143,320.44075254,223.9777292611111,218.8465524146154,285.45985858200004,243.2368663325,289.6966398111111,,237.9659047690909,323.16764780000005,220.046537029,117.93677741666666,385.48896,202.458237195,222.02577836454546,471.6150007,127.32585389666667,251.72287527600002,282.39085337923075,183.17713896714284,310.0311024985714,310.692587975,209.24478136666667,274.27438734625,307.48995956625,225.730245432963,231.34658070134614,398.9888584,233.2228159954545,313.53584227769227,379.67753803,296.216467045,247.29994066999998,259.24607673833333,379.7813104825,203.071868898,130.881322375,265.12492841384613,220.27427952600002,281.9310439,372.2685768333333,281.6668026,317.9190970733334,466.85469035,247.02815300900002,325.40783738545457,237.97020677555554,248.39293054363637,215.25267127111113,286.86966267500003,269.75982035625,364.7041477,204.35462936333332,224.1767026011111,271.82779969,323.1915386714286,184.5182556625,233.3142039,147.9179866,168.81765146,304.6733368,205.73619157666667,190.77774335,212.16288422,177.630631128,190.1274902,280.046863716,231.9552278230769,186.859971095,271.2871520718182,204.26248011333334,164.52799910666667,251.5699892,458.6594449,306.52141993333333,247.63900969583335,274.2784749655555,283.565347855,214.48845244999998,258.90415055,192.83264623692307,276.256390425,276.71276539385417,236.8332677766667,324.14131226666666,325.81702476,268.989358496,175.1412688542857,201.92834349,244.26311013910714,371.58115434,187.10337095666668,365.2579639,269.22415672333335,255.07991226200002,238.35161713,256.53460348777776,230.90036716666668,224.80508707909092,237.05886575583335,232.409887218,250.10086919,321.7568867333334,207.74505645166664,302.6647709775,215.94698206200002,255.7841391533333,303.84400815,236.9059892275,243.66364008166667,325.5021547771429,258.65789675444444
Acer Swift,128.6839396025,146.61041423,307.7200066,395.9551713,195.9429,227.1921623,315.1849068266667,186.92075979999998,114.46970972499999,265.040222675,260.79879363,213.33063485000002,303.76054313333333,215.44118524599997,314.766428442,376.023806525,220.2946118885714,201.89734133333332,325.33433856666664,256.63195318636366,369.92419645999996,326.8470695225,214.78696516625,301.625451825,197.5305113533333,294.34564055,244.51834580424244,148.582734195,309.6839518,260.02667326666665,10.3256129,227.7113837,187.4825007875,222.1623383333333,364.7956029,150.3197865725,393.95566544999997,224.21698842249998,313.17515256666667,369.68134836666667,148.08928494999998,310.0435624,262.56427914333335,234.4977021125,298.58923232307694,311.14091422999996,326.2351051,375.643149262,284.748618415,357.982834675,288.989300994,280.22903134166665,300.61522705,261.98902297666666,230.69575797,321.29403145,162.3194866,344.9013045,256.52259955,214.71263818333333,257.4942594,180.5809942,168.5217038842857,,281.2760684142857,277.9452572471429,341.25382816285713,205.10919447199998,142.2538752,385.67155675000004,236.9722261,255.58544756166665,116.40861873333334,201.8278433925,134.44229483,203.6165338,280.9978515,59.73139765,27.85058299,229.74355465222223,183.46965633333335,276.16517468,355.49800065,307.905209325,297.5598283638461,282.692454,153.85413511000002,295.5003581,51.36981455,376.4988285,405.79285239999996,,306.9860077,369.35676947142855,328.2724082666667,310.6594475333333,196.5349655775,300.13177615,219.21296012000002,47.23832633,268.07484882200004,212.41787954428574,234.4100599,185.02272305,218.01590695000002,334.0964436,279.72857085,245.471383484,456.1716117,330.7141088,141.62685815,252.338859995,335.93500276,306.90804525333334,335.0838697,400.82976610000003,178.83658347285714,225.622698932,304.45634715,261.472542,,306.2822114,289.45976712000004,202.8070039766667,140.5404956,426.66404839999996,267.406172058,216.56257736,226.46384100666668,312.17741369000004
Action,97.6618935775,230.9984421,283.46524076000003,272.70152957,88.55164065,274.1669935,295.597864525,229.38107569000002,207.5807890875,365.3506372,332.66307928571433,326.7602137,291.022077066,287.021336825,246.0336632,208.912724715,278.98336460086955,275.42374472,165.67161769,158.37074443,244.46008895,195.25387922,315.55787522500003,317.40101556999997,387.79654566666665,470.4909793,183.43169849464286,,310.141631275,493.8051099,302.24770385,378.05698545,296.4643729616667,366.7445461,186.71464045000002,250.65579845000002,249.789473426,357.3165803555555,224.36315604,185.34204910666668,152.74769995,,324.816228625,296.31971930285715,236.860462795,261.2264169,213.23754622555555,309.907580175,335.32309141999997,78.26305113500001,280.668834425,314.15340068333336,233.4609802,360.3693737333333,238.573413055,313.4694308,40.50220489,208.67511633333334,81.15512187499999,272.31879279333333,299.9651976,,162.0667042375,230.49812712666665,273.071858,217.8503301,324.2075336714285,253.269269398,177.6435255,230.25735994000001,,214.92160757666667,125.43874641,202.96080813,290.54721137499996,129.1952113,125.0776042,445.0608203,257.214741265,175.06218066625001,376.2227437666667,134.020932495,194.0781885,297.8842572,279.96966564999997,300.6598079185714,269.82664522749997,183.71713705000002,306.5745342,146.4994872,286.18857237500004,259.10465086,299.375763075,228.51462773666665,324.85233492857145,264.5784374,373.7760744,375.2949886,397.9569318,,279.2677468139474,92.61870816749999,312.8807996,276.51105823333336,254.4920834,,,271.0595608294445,311.82062820000004,255.32719926363634,299.6333619,301.96023004,190.7378097,293.209819798,344.9063533,264.9235846,,284.45764123333333,240.0951687475,199.9240004,262.59549453333335,316.7815187,246.08619216000002,248.59570994333333,81.595324255,332.9981624,244.25337358400003,272.6690126175,273.04253824,216.518141
Adventure,269.19605727111116,188.29699463923077,208.28333645499998,123.4007883,296.68319486,175.73336261625,221.85556133566666,320.06492054,329.6582736125,291.0466521485714,255.18020321230767,202.6615099525,212.54212749105264,255.8388959935,256.05853737619043,299.86079517473684,265.69485068705126,290.56955821428573,303.59908566882353,277.3191392231579,300.3633733053333,325.57143013214284,273.60122094400003,254.1899200945,287.09377358266664,327.44345798375,253.34108735168422,319.16054682857146,230.7434033026087,221.398553309,195.83739487,253.00306968,294.38051947555556,185.54319765666665,242.058782425,210.6046454625,196.2562659283333,226.57048607,316.2109835233333,233.35223383411764,242.14501530307692,182.03669675625,252.07868165833335,221.87674651266667,233.15980132817205,163.28964904375,246.21048266,225.67928782681818,260.465887313,169.8796547441667,246.51662943117645,238.76790484454548,177.95552923384614,254.57903813960002,253.92249781615385,238.36874487681817,253.58758663444445,226.00255070545455,265.48152470599996,295.89798765642854,248.52060232722226,208.40803380333332,178.33527176759998,265.0456560785714,239.8737554873913,278.1114221415,201.11110905428572,221.98164783709677,216.98332019363636,295.007159542,252.61232603,263.030372005625,296.80683146,264.40971227066666,262.224704934,334.5538490833333,199.9031952825,289.356189915,205.22740050000002,238.575808068125,234.22031474666665,233.88119168095238,256.791500045,267.1493605333333,273.6640870864286,289.74652559842104,239.029655988125,251.90587521086957,266.66323958842105,213.45039303444443,236.16176221857145,337.39969635999995,322.45183333277777,249.21862477166667,264.89853965357145,248.28001912125,244.12063761857144,275.42184559000003,293.9017644977273,198.2245964857143,256.7236719377778,318.9906229692308,165.33140947142857,159.601134292,283.9241493216667,291.4474982346154,305.15509403333334,261.68444695145297,234.11402766888892,283.48941476809523,297.09586412,212.33577786208332,302.17489585833334,284.69966201066666,272.68824963833333,245.37748312666668,260.1664788489474,282.628892266,249.4646166811111,250.38901990222223,239.8329880375,136.800963353,231.10954985666663,297.9079256125,172.91575131125,183.287620995,247.224338555,267.9311943055,223.08740766111111,277.37440833809524
Affogato,271.38694145666665,333.4821447,248.94671315,183.96753809,345.1102825,239.19706595000002,188.55371196,94.001071564,228.11309855714285,191.44717664249998,406.1959045666667,242.19091985333333,227.50883639,340.78156063333336,265.09171225,202.1651521775,252.899702876875,211.21604111333332,436.6270265,244.91563846,290.180108975,317.968644692,81.954685896,393.7765641666667,429.5732435,75.97297909,240.07791047645162,274.46995596,217.85671338666668,,213.21152143999998,,257.048104375,444.8633649,160.1737091,363.41020779999997,231.7410986271429,262.7156757566667,202.07644849,417.6958984333333,240.88934274999997,394.8556828,332.979892675,227.29119598466664,266.3364930404348,210.5203929,147.02265505,203.2723131933333,149.25558769666668,224.27385738333336,307.5370671333333,178.4887575925,244.9760149125,132.472171135,135.4793806,208.54608301,63.93754403,414.7057333,126.2642309,273.6964362242857,271.67742408,168.22288085,344.15497821,68.35390963,387.2377818333334,180.9676057,359.41349553333333,301.133230873,146.4291488,336.30652525000005,290.47602674999996,356.36371065714286,220.73500714000002,141.50525817000002,248.09723003333332,342.133754525,101.2975298,249.73475050000002,217.49841912,309.15339420000004,210.98892902,322.41676805000003,154.2475706,88.16668732,309.1284163333333,257.40411866166664,283.512067365,215.48580975666664,294.9186491,280.4126458,305.30821894999997,470.71494985000004,203.39685216333336,94.281035785,233.868421265,324.670918894,252.5913142,215.86648808333334,280.91982355,480.9913082,275.90864009,238.8696851442857,337.05991053400004,225.3745049,417.3117719,223.975919165,312.760333562,272.03601964194445,260.6531740825,300.0914948,320.5463942666667,198.52569713285715,289.564216925,354.35649337200005,118.83829909571429,273.76112092833336,151.41948876200001,239.54177044,240.52814163666667,54.77070677,160.6271172,268.9149796333333,287.04441033333336,260.14197036666667,327.1118369,359.30523605,230.52005977999997,311.4561796985714,271.66529082,230.86373403400003
Air conditioner,207.68450474285714,410.15797139999995,216.73268158428573,317.7594683,,265.02557163,298.84111731125,30.97925617,214.747091475,256.19200876846156,157.747548938,326.5185282,271.95902541636366,283.3037912122222,257.4559282,219.53687178,243.398811475,416.2639938,279.86669838,219.95119417499998,236.0292274211111,259.5592814,253.931210965,320.616195875,150.714003635,219.16957473000002,190.6115737,100.51224677,185.75836226777778,332.5298836525,163.2443665375,89.01477075,222.45577020800002,374.9915961,114.7179383,264.96540749999997,221.61783416333333,158.1132752375,289.6901604875,292.652583274,184.83139072,205.3792766175,315.0768020988889,267.26212200000003,235.2813815925,,350.13856504,284.49469078000004,199.7434323757143,312.8843408375,314.357071075,185.073937946,233.04463269625,240.44515801714286,238.5612527433333,206.4231391766667,437.14922670000004,342.8930984,113.4457206,226.53939086090907,380.18571445714286,343.075316,216.58016912714285,315.48274648333336,259.1979109409091,173.9259612925,280.49012271428575,244.29644590375,,266.7970165,321.22623075,240.78468554363636,245.8696062,192.63656654,333.7408039333333,437.1100718,263.41592603333333,224.86836532,305.748902315,280.701093382,199.936175555,203.447816876,258.18434031833334,217.667010645,237.4018609,226.35135446666663,364.4774945,277.17118017142855,285.706991872,134.2001728,285.48101560000003,269.03130646666665,267.055003096,241.84806548333336,360.55602435000003,325.11718288000003,259.0536773,156.6856215,221.53360736916667,286.745125325,230.98860460285715,262.309164721,,141.673415562,249.39201866666667,420.946576,192.435712465,261.27194525,478.4647688,270.9103656,249.50819087500003,215.40550885,302.0500584885714,193.10922045333334,181.52533579666667,243.552127475,341.18011083199997,278.99177297333335,227.462097825,349.356666275,197.8099954,283.6553985533333,290.44779301,169.3828728,329.5995285,407.89267953333336,253.0300991,253.24732272625,225.36619045428571,181.04423375272725
Alkaline water,253.398452455,304.43388544,286.3605516083333,128.79661778,209.84694562599998,335.860349575,263.3592052335294,45.421281515000004,307.85449892642856,271.81856940384614,281.06045706263154,204.26536133,224.63180262705882,121.84005292500001,349.20144633999996,287.72934809090907,272.2551334559091,333.0476955925,186.74328767625,239.4579690764706,272.0269527425,293.91395604444443,256.428521914375,253.37538697857144,272.12285370571425,118.8306030475,253.38730144142008,168.23939032142857,247.5227344722222,313.20974021666666,213.70772903833335,164.21734636333335,172.873592475625,227.500476924,140.8423713,295.814042685,281.4742931222222,150.85944228555556,294.77636658200004,302.13018665428575,355.084563261875,314.9171798,239.74498772875,263.24761718517243,255.36134147019231,158.15219134999998,224.39438183400003,228.88233611722222,347.143597635,268.42712251,241.21177028666668,275.43535504133337,230.9443401985714,262.97162384666666,231.38792177857144,239.36293778,255.1577607975,314.611471485,263.85340865,256.869575072,278.07522535,,259.61138673,221.02836254375,234.1037921518182,327.3356403561538,215.7902518085714,280.13433493388885,287.907221125,264.3974105857143,214.31975701500002,217.04926961888887,219.856866515,252.16847645352942,195.97571917000002,139.08067234,212.1470755,85.87255948,220.579730125,270.79983133875,318.24315576444445,165.9459494413333,266.917186695,245.23605825099997,248.55676890043478,194.20751536933332,279.6845765,304.7487123711111,273.51490748176474,172.02743568,332.3431194666667,187.012674062,237.927361340625,192.37795740785714,289.18959604642856,312.5895772376923,399.6417602,371.6583813,211.25303967384616,260.60190804999996,279.1963641807408,289.63270133636365,295.71275686499996,260.69085123923077,315.0778292333334,337.03770406666666,353.215047,259.53892959275,277.7031171925,250.83149110166667,214.549135,327.3919303888889,268.88600753833333,225.88005540571427,238.305532546,282.36509962363635,317.1767068,266.99615020199997,258.10846098909093,217.460571655,262.62273576166666,274.111125865,240.3070894583333,337.1009438666667,202.72687089166666,293.53730848,267.0152137035714,299.7399747375,289.0588633058333,326.69768901214286
Amazon Fire Tablet,234.9756376875,328.234916875,247.1124118725,304.43959896666667,251.363089125,230.0279353233333,288.01743558333334,236.7600918475,298.06575511,212.73953788333336,297.1126712471428,236.50387170666667,299.2090808886667,270.58299809333334,243.5170393,273.79688635,263.73484971342106,236.02417386166667,270.1640895025,267.95839913916666,239.13531449777778,327.158415132,233.61640899875,204.0559418318182,286.42785984941173,217.92195002833333,279.239337586875,385.65229603333336,323.96926302,22.78101139,388.2450811666667,244.1741371925,293.12364818333333,343.3997658,289.262261025,305.247397925,231.8392096058333,338.7926607,114.692954818,265.822326179,242.73766387,155.74957899999998,237.483901054,228.287662315,208.752748535,247.78010592500002,309.2831677988889,297.0187398771428,226.92889144636365,259.11919124,254.8205735711111,245.49518111470587,284.49776142636364,212.25402891,177.84480866750002,347.93010875,291.6638955166666,287.2948148,141.18602475,245.5482846009091,200.19948881666664,100.0348393,274.7261523444444,196.39097517333335,168.79450677000003,212.268805144,225.44493153846153,245.68833278791666,13.827225595000002,272.50500543333334,161.946578516,288.30318802375,265.3897983713333,291.280228504,187.24235813,205.29866814142858,321.79109300000005,261.3652888,347.191293648,200.26320124166668,215.1051708027273,248.0681829,220.14175524333334,110.6121127075,257.1829901221428,280.0013030666667,275.8276468353333,304.75944666285716,272.5627968746154,257.4904359175,123.5239293,280.052343814,236.70054864142858,321.2023198081818,326.4442727753846,284.7451644766667,304.16946736666665,,233.40693172125,135.51533913666665,257.5549954651351,285.5244067392308,239.69186346666666,299.84802216363636,424.3439771,278.84221173333333,98.70606512,283.52060662875,244.6816411,282.756997145,216.8918240975,209.86597543399998,292.76004155416666,208.219888476,226.72811463,240.36477544444446,300.42330611899996,232.8788009742857,159.434190172,198.30676022666668,200.16671533333331,236.146692255,293.0261566477778,321.79080135000004,321.30338775999996,213.43858493,259.28060242624997,228.63651137727274,234.88971472857142,226.6236902666667
