Product,City,Allocated_Quantity
Cycling shorts,Dortmund,0.0
Lenovo Tab,Nottingham,0.0
Sports equipment,Geelong,0.0
Utility knife,Edmonton,0.0
Chocolate cookies,Bristol,0.0
Lenovo Tab,Brisbane,0.0
QLED TV,Kitchener,0.0
Dress shirt,Munich,0.0
Dark chocolate,Wollongong,0.0
Candles,Cologne,0.0
Screwdriver set,Portsmouth,0.0
Science,Portsmouth,0.0
Bottled water,Portsmouth,0.0
Fruit snacks,Portsmouth,0.0
V-neck tee,Portsmouth,0.0
Drama,Portsmouth,0.0
Flavored water,Portsmouth,0.0
Samsung Galaxy Tab,Portsmouth,0.0
Orange juice,Portsmouth,0.0
Bookshelf,Portsmouth,0.0
Affogato,Portsmouth,0.0
Business,Portsmouth,0.0
Self-help,Portsmouth,0.0
Sink,Portsmouth,0.0
Grape juice,Portsmouth,0.0
Stove,Portsmouth,0.0
Huawei P,Portsmouth,0.0
Amazon Fire Tablet,Portsmouth,0.0
Curtains,Portsmouth,0.0
Pomegranate juice,Portsmouth,0.0
Running shoes,Portsmouth,0.0
Political thriller,Portsmouth,0.0
Google Pixel,Portsmouth,0.0
Chocolate mousse,Portsmouth,0.0
Vases,Portsmouth,0.0
Henley shirt,Portsmouth,0.0
Toys,Portsmouth,0.0
Iced tea,Portsmouth,0.0
Apple juice,Portsmouth,0.0
Microsoft Surface Laptop,Portsmouth,0.0
Desk,Portsmouth,0.0
Bodycon dress,Portsmouth,0.0
Sports headphones,Portsmouth,0.0
Pendant lights,Portsmouth,0.0
Clocks,Portsmouth,0.0
Comforter,Portsmouth,0.0
Peacoat,Portsmouth,0.0
Bed,Portsmouth,0.0
White chocolate,Portsmouth,0.0
Android TV,Portsmouth,0.0
Studio headphones,Portsmouth,0.0
Sneakers,Portsmouth,0.0
Sculptures,Portsmouth,0.0
Cream soda,Portsmouth,0.0
History,Portsmouth,0.0
Pliers,Portsmouth,0.0
Oxfords,Portsmouth,0.0
Short stories,Portsmouth,0.0
Dining table,Portsmouth,0.0
Cooking,Portsmouth,0.0
Wall art,Portsmouth,0.0
Dress shirt,Portsmouth,0.0
Memoir,Portsmouth,0.0
Maxi dress,Portsmouth,0.0
LG Gram,Portsmouth,0.0
Dishwasher,Portsmouth,0.0
Cranberry juice,Portsmouth,0.0
Crime,Portsmouth,0.0
Pillowcase set,Portsmouth,0.0
Shower curtain,Portsmouth,0.0
Samsung Galaxy,Portsmouth,0.0
Curved TV,Portsmouth,0.0
DJ headphones,Portsmouth,0.0
Button-down shirt,Portsmouth,0.0
Purified water,Portsmouth,0.0
Puffer jacket,Portsmouth,0.0
Fantasy,Portsmouth,0.0
Adventure,Portsmouth,0.0
Popcorn,Portsmouth,0.0
Nuts,Portsmouth,0.0
Detective,Portsmouth,0.0
iPhone,Portsmouth,0.0
LG G,Portsmouth,0.0
Chocolate-covered fruits,Portsmouth,0.0
Chino shorts,Portsmouth,0.0
Distilled water,Portsmouth,0.0
Literary fiction,Portsmouth,0.0
Grape soda,Portsmouth,0.0
T-shirt,Portsmouth,0.0
Cheese snacks,Portsmouth,0.0
Towel rack,Portsmouth,0.0
Blanket,Portsmouth,0.0
Coffee table,Portsmouth,0.0
OLED TV,Portsmouth,0.0
Pineapple juice,Portsmouth,0.0
HDR TV,Portsmouth,0.0
Travel,Portsmouth,0.0
Crew neck tee,Portsmouth,0.0
Grapefruit juice,Portsmouth,0.0
